Serial_number,Muhavara,Meaning,Example
1584,हेकड़ी दिखाना-,रोब दिखना,
1585,हेटी होना-,अपमान होना,
1586,होठ चाटना-,खाने का लोभ,
1587,हऽ हऽ करना-,बहुत मजे में,
1588,होश की दवा करना-,समझकर बात करना,
1589,होश ठिकाने आना-,घमंड में चूर होना,
1590,हौसला बुलंद होना-,जोश भरा होना,
1591,हाय तोबा करना-,बड़ा परेशान होना,
1592,हँसकर बात उड़ाना-,ध्यान न देखा,
1593,हँसते-हँसते पेट में बल पड़ना-,बहुत हँसना,
1594,आँख या आँखों का तेल निकालना,महीन काम करना जिससे आँखों पर बहुत जोर पड़े,- दिन भर सुई         में धागा पिरोते-पिरोते मेरी आँखों आँखों का तेल निकल गया।
1595,आँख-कान खुले रखना,बहुत सर्तक रहना,"- आजकल तो हमें हर जगह अपने आँख-कान खुले रखने चाहिए,          वरना कोई भी दुर्घटना घट सकती हैं।"
1596,आँख का पानी गिरना या आँख का पानी मर जाना,निर्लज्ज होना,"- राजू की आँख का पानी मर गया हैं,          वह तो अपने पिता के सामने भी बीड़ी पीता हैं।"
1597,आँखों की पट्टी खुलना,भ्रम दूर होना,- प्रेम के आँख की पट्टी तब खुली जब ठग उसे ठगकर चला गया।
1598,आँखें निकालना,क्रोधपूर्वक देखना,"- अरे मित्र! फूल मत तोड़ो, माली आँखें निकाल रहा हैं।"
1599,आँखें नीची होना,लज्जित होना,- जब पुत्र चोरी के जुर्म में पकड़ा गया तो पिता की आँखें नीची हो गई।
1600,आँखें फाड़ कर देखना,आश्चर्य से देखना,"- अरे मित्र! आँखें फाड़कर क्या देख रहे हो, ये तुम्हारा ही घर हैं।"
1601,आँखें बंद होना,मर जाना,- थोड़ी-सी बीमारी के बाद ही उसकी आँखें बन्द हो गई।
1602,आँखें बिछाना,प्रेम से स्वागत करना,- जब प्रधानमंत्री आए तो स्कूल में सबने आँखें बिछा दीं।
1603,आँखें मूँदकर रखना,बिना सोचे-समझे करना,- अध्यापक ने बच्चों से कहा कि हमें कोई काम आँख         मूँदकर नहीं करना चाहिए।
1604,आँखों में चुभना,बुरा लगना,"- मैंने मित्र से कहा कि मित्र, ये रंग आँखों में चुभ रहा हैं,         तुम दूसरे रंग की शर्ट पहन लो।"
1605,आँखें खुलना,"होश आना, सावधान होना",- जनजागरण से हमारे शासकों की आँखें अब खुलने लगी हैं।
1606,आँखें चार होना,आमने-सामने होना,"- जब आँखें चार होती है, मुहब्बत हो ही जाती है।"
1607,आँखें मूँदना,मर जाना,- आज सबेरे उसके पिता ने आँखें मूँद ली।
1608,आँखें चुराना,"नजर बचाना, अपने को छिपाना",- मुझे देखते ही वह आँखें चुराने लगा।
1609,आँखों में खून उतरना,अधिक क्रोध करना,- बेटे के कुकर्म की बात सुनकर पिता की आँखों में खून उतर आया।
1610,आँखों में गड़ना,किसी वस्तु को पाने की उत्कट लालसा,- उसकी कलम मेरी आँखों में गड़ गयी है।
1611,आँखें फेर लेना,उदासीन हो जाना,- मतलब निकल जाने के बाद उसने मेरी ओर से बिलकुल आँखें फेर ली है।
1612,आँख मारना,इशारा करना,- उसने आँख मारकर मुझे बुलाया।
1613,आँखों में धूल झोंकना,धोखा देना,- वह बड़ों-बड़ों की आँखों में धूल झोंक सकता है।
1614,आँखें बिछाना,प्रेम से स्वागत करना,- मैंने उनके लिए अपनी आँखें बिछा दीं।
1615,आँखों का काँटा होना,शत्रु होना,- वह मेरी आँखों का काँटा हो रहा है।
1616,आँखों में पानी होना,शर्म-लिहाज होना,- रमेश की आँखों में पानी होता तो वह सबके सामने बड़े भाई         का अनादर न करता।
1617,आँखों में समाना,हमेशा ध्यान में रहना,- मुरली मनोहर श्याम तो मीराबाई की आँखों में समाए हुए थे।
1618,आँखों से अंगारे/आग बरसना,अत्यधिक क्रोध आना,- जब रावण ने सीता का हरण कर लिया तो श्री         राम की आँखों से अंगारे बरसने लगे थे।
1619,आँखों से उतरना,मूल्य या सम्मान कम होना,- जब से विवेक ने अपने पिता को जवाब दिया हैं तब से         रामू उनकी आँखों से उतर गया हैं।
1620,आँखों से चिनगारियाँ निकलना,गुस्से या क्रोध से आँखें लाल होना,- जब रोहन ने मुझसे अपशब्द कहे तो           मेरी आँखों से चिनगारियाँ निकलने लगी।
1621,आँखों में सरसों फूलना,हरियाली ही हरियाली दिखाई देना अथवा मन उल्लास से भरना,- जब राहुल की         लॉटरी खुल गई तो उसकी आँखों में सरसों फूलने लगी।
1622,आँखों से परदा हटना,असलियत का पता लगना,- जब मुझे यह ज्ञात हुआ कि सादा ढंग से रहने वाला         शेखर अमीर हैं तो मेरी आँखों से परदा हट गया।
1623,आँखों पर बिठाना,बहुत आदर-सत्कार करना,- जब मोहन के घर कोई मेहमान आता हैं तो वह उसे         आँखों पर बिठाकर रखता हैं।
1624,आँखें आना,आँखों में लाली/सूजन आ जाना,- मेरी आँखें आ गई हैं इसलिए मैंने काला चश्मा लगा रखा है।
1625,आँख उठाना,नुकसान करने की कोशिश करना,- यदि तुम्हारी ओर किसी ने आँख भी उठाई तो मैं उसे छोड़ूँगा नहीं।
1626,आँख-कान खुले रखना,सतर्क रहना,- यहाँ यह पता करना कठिन है कि कौन मित्र है और कौन शत्रु। अतः हमेशा   आँख-कान खुले रखो।
1627,आँखें पथरा जाना,राह देखते-देखते थक जाना,- कृष्ण के लौटकर आने की प्रतीक्षा में गोपियों की आँखें पथरा गई।
1628,आँखों पर पर्दा पड़ना,भले-बुरे की पहचान न होना,- क्या तुम्हारी आँखों पर पर्दा पड़ा है जो तुम्हें यह भी दिखाई नहीं देता कि  तुम्हारा बेटा आजकल क्या गुल खिला रहा है ?
1629,आँखों में घर करना,मन में जगह बना लेना,- अच्छे बच्चे सभी अध्यापकों की आँखों में घर कर लेते हैं।
1630,आँखों में चर्बी छाना,घमंड में चूर होना,"- रिश्वत और बेईमानी का पैसा उसे क्या मिला है, उसकी आँखों में तो चर्बी   चढ़ गई है।"
1631,आँख लगना,"प्रेम करना, जरा-सी नींद आना",- आँख लगी ही थी कि अचानक फोन की घंटी सुनकर वह उठ बैठा।
1632,आँखों में रात काटना,चिंता/कष्ट के कारण सो न पाना,"- पूनम के पति को पुलिसवाले न जाने क्यों थाने ले  गए। वह रात भर नहीं लौटा, बेचारी पूनम की तो सारी रात आँखों में ही कटी।"
1633,आँखों में धूल झोंकना,धोखा देना,- चोर पुलिसवाले की आँखों में धूल झोंककर गायब हो गया।
1634,आँख दिखाना,क्रोध करना,"- मुझे क्यों आँखें दिखा रहे हो, मैंने तो तुम्हारी शिकायत नहीं की थी ?"
1635,आँखें ठंढी होना-,इच्छा पूरी होना,
1636,आँखें लड़ना-,"देखादेखी होना, प्रेम होना",
1637,आँखें लाल करना-,क्रोध की नजर से देखना,
1638,आँखें थकना-,प्रतीक्षा में निराश होना,
1639,आँखों में खटकना-,बुरा लगना,
1640,आँखें नीली-पीली करना-,नाराज होना,
1641,"आँख का अंधा, गाँठ का पूरा-",मूर्ख धनवान,
1642,आँखों की किरकिरी होना-,शत्रु होना,
1643,आँखों का प्यारा या पुतली होना-,बहुत प्यारा होना,
1644,आँखों का पानी ढल जाना-,लज्जारहित हो जाना,
1645,आँखें सेंकना-,किसी की सुन्दरता देख आँखें जुड़ाना,
1646,आँखें गड़ाना-,"दिल लगाना, इच्छा करना",
1647,आँख फड़कना-,सगुन उचरना,
1648,आँख रखना-,ध्यान रखना,
1649,आँख में पानी रखना-,मुरौवत रखना,
1650,अँगूठा चूमना,खुशामद करना,"- साहित्यिक भी जब शासकों का अँगूठा चूमते हैं, तो बड़ा दुःख होता है।"
1651,अँगूठा दिखाना,मौके पर धोखा देना,"- चालबाजों से बचकर रहो, वे अँगूठा दिखाना खूब जानते हैं।"
1652,अँगूठे पर मारना,परवाह न करना,- तुम्हारे जैसे कितनों को मैं अँगूठे पर मारता हूँ।
1653,अँगूठा नचाना-,चिढाना,
1654,आँसू पोंछना-,धीरज बँधाना,
1655,आँसू बहाना-,खूब रोना,
1656,आँसू पी जाना-,दुःख को छिपा लेना,
1657,ओठ चाटना-,स्वाद की इच्छा रखना,
1658,ओठ मलना-,दण्ड देना,
1659,ओठ चबाना-,क्रोध करना,
1660,ओठ सूखना-,प्यास लगना,
1661,ऊँगली उठना,बदनाम करना,- भले पर कौन उँगली उठा सकता है ?
1662,ऊँगली पकड़ते पहुँचा पकड़ना,थोड़ा झटककर अधिक झटकने का प्रयास करना,"- लोभियों से                   सावधान रहो, वे ऊँगली पकड़कर पहुँचा पकड़ना जानते हैं।"
1663,पाँचों उँगलियाँ घी में होना,मौज-मस्ती में रहन,- वह तिकड़मी सरकारी ठीकेदार हुआ कि                    पाँचों उँगलियाँ घी में।
1664,सीधी ऊँगली से घी न निकलना-,भलमनसाहत से काम न होना,
1665,कानों में ऊँगली देना-,किसी बात को सुनने की चेष्टा न करना,
1666,कान खोलना,सावधान करना,- मैंने उसके कान खोल दिये। अब वह किसी के चक्कर में नहीं आयेगा।
1667,कान खड़े होना,होशियार होना,- दुश्मनों के रंग-ढंग देखकर मेरे कान खड़े हो गये।
1668,कान फूंकना,"दीक्षा देना, बहकाना","- मोहन के कान सोहन  ने फूंके थे, फिर उसने किसी की कुछ न सुनी।"
1669,कान लगाना,ध्यान देना,- उसकी बातें कान लगाने योग्य हैं।
1670,कान भरना,पीठ-पीछे शिकायत करना,- तुम बराबर मेरे खिलाफ अफसर के कान भरते हो।
1671,कान में तेल डालना,कुछ न सुनना,"- मैं कहते-कहते थक गया, पर ये कान में तेल डाले बैठे हैं।"
1672,कान पर जूँ न रेंगना,"ध्यान न देना, अनसुनी करना","- सरकार तो बड़ी-बड़ी बातें कहती है, मगर अफसरों के कान पर जूँ नहीं रेंगती।"
1673,कान काटना,बढ़कर काम करना,"- उसे छोटा न समझो, भाषण देने में तो वह बड़े-बड़ों  के कान काटता है।"
1674,कान देना,ध्यान देना,- शिक्षकों की बातों पर कान दीजिए।
1675,कान पकना,व्यर्थ बकवास सुनते रहने से चिढ,"- किसी व्रत पर जब चारों ओर लाउडस्पीकरों पर बेसुरा अष्टयाम कीर्तन होता है,         तो शहर-बस्ती के हम-आप         भलेमानसों की क्या बात; सात लोक पार बैठे परमात्मा के भी कान पक जाते हैं।"
1676,कान पकड़ना,अनुचित न करने की प्रतिज्ञा करना,- अब से मैं कान ऐंठता हूँ कि कभी ऐसी गुस्ताखी न करूँगा।
1677,कान उमेठना-,शपथ लेना,
1678,कानों कान खबर होना-,बात फैलना,
1679,कलेजा निकाल कर रख देना,हृदय की बात कहना,- 'प्रणय-पत्रिका' के एक-एक गीत में बच्चन ने अपनी कल्पित प्रेयसी के प्रति कलेजा निकालकर रख दिया है।
1680,कलेजा ठंढा होना,डाह पूरा होने पर संतोष,- कुणाल के अंधा भिखारी होने पर उसका कलेजा ठंडा हुआ।
1681,कलेजा काढ़ना,प्रिय वस्तु का चला जाना,"- उसने मेरी पांडुलिपि क्या खो दी, मेरा कलेजा काढ़ लिया।"
1682,कलेजा फटना,ईर्ष्या होना,- मुझे क्या सरकारी नौकरी मिल गयी कि मेरे एक घरवारी सहयोगी का कलेजा           ही फटने लगा।
1683,कलेजा टूक-टूक होना,हृदय पर गहरा आघात पहुँचना,- नृप हरिश्चंद्र की विपत्तियों को देखकर किसका कलेजा           टूक-टूक नहीं होता ?
1684,कलेजा मुँह को आना,अत्यंत आतुरता,- उसकी बीमारी देखकर कलेजा मुँह को आता है।
1685,कलेजे पर साँप लोटना,किसी की उन्नति याद कर जलन होना,- राम के राज्याभिषेक की खबर पर कैकयी की           दासी मंथरा तक के कलेजे पर साँप लोटने लगा।
1686,कलेजे पर पत्थर रखना,दिल मजबूत करना,"- छोटे भाई विभीषण की दगाबाजी पर रावण ने कलेजे पर पत्थर           रख लिया, इसके सिवा उसके पास चारा ही क्या था।"
1687,कलेजा चीरकर दिखाना,पूर्ण विश्र्वास दिलाना,"- तुम्हीं मेरे सब कुछ हो, यह मैं कलेजा चीरकर दिखा सकता हूँ।"
1688,कलेजे से लगाना-,"प्यार करना, छाती से चिपका लेना",
1689,कलेजा काँपना-,डरना,
1690,कलेजा थामकर रह जाना-,अफसोस कर रह जाना,
1691,नाक कट जाना,प्रतिष्ठा नष्ट होना,- पुत्र के कुकर्म से पिता की नाक कट गयी।
1692,नाक काटना,बदनाम करना,- भरी सभा में उसने मेरी नाक काट ली।
1693,नाक-भौं चढ़ाना,क्रोध अथवा घृणा करना,"- तुम ज्यादा नाक-भौं चढ़ाओगे, तो ठीक न होगा।"
1694,नाक में दम करना,परेशान करना,- शहर में कुछ गुण्डों ने लोगों की नाक में दम कर रखा है।
1695,नाक का बाल होना,अधिक प्यारा होना,- मैनेजर मुंशी की न सुनेगा तो किसकी सुनेगा ?वह तो आजकल उसकी नाक का बाल बना हुआ है।
1696,नाक रगड़ना,दीनतापूर्वक प्रार्थना करना,"- उसने मालिक के सामने बहुत नाक रगड़ी, पर सुनवाई न हुई।"
1697,नाकों चने चबवाना,तंग करना,- भारतीयों ने अंगरेजों को नाकों चने चबवा दिये।
1698,नाक पर मक्खी न बैठने देना,निर्दोष बचे रहना,- उसने कभी नाक पर मक्खी बैठने ही न दी।
1699,नाक पर गुस्सा,तुरन्त क्रोध,- गुस्सा तो उसकी नाक पर रहता है।
1700,नाक रखना,प्रतिष्ठा रखना,- क्रिकेट में जय ने कॉमर्स कॉलेज की नाक रख ली।
1701,नाक-भौं सिकोड़ना,"घृणा करना, सहन न कर पाना",- वह तो मुझे देखते ही नाक-भौं सिकोड़ने लगता है।
1702,नाक-कान काटना,बहुत अधिक अपमानित करना,- उन्होंने अपने मित्रों के अपमान के बदले अपनी चतुराई से कितने         ही सामंतों के सरे-दरबार नाक-कान काटे।
1703,नाक ऊँची होना,प्रतिष्ठा बढ़ना,- पिछले टेस्ट-क्रिकेट में जीत के कारण हमारी नाक ऊँची हो गयी।
1704,नाक रहना,इज्जत बचना,-  भीम ने दुश्शासन को पछाड़कर द्रौपदी की नाक रख ली।
1705,मुँह छिपाना,लज्जित होना,- वह मुझसे मुँह छिपाये बैठा है।
1706,मुँह पकड़ना,बोलने से रोकना,- लोकतन्त्र में कोई किसी का मुँह नहीं पकड़ सकता।
1707,मुँह उतरना,उदास होना,- परीक्षा में असफल होने पर श्याम का मुँह उतर आया।
1708,मुँह पर कालिख लगना,कलंकित होना,- चोरी करते पकड़े जाने पर राजू के मुँह पर कालिख                                       लग गई।
1709,मुँह पर ताला लगना,चुप रहने के लिए विवश होना,- कक्षा में अध्यापक के आने पर सब                                      छात्रों के मुँह पर ताला लग जाता है।
1710,मुँह पर थूकना,बुरा-भला कहना,- कालू की करतूत देखकर सब उसके मुँह पर थूक गए।
1711,मुँह फुलाना,अप्रसन्नता या असंतुष्ट होकर रूठ कर बैठना,- शांति सुबह से ही अपना मुँह                                       फुलाए घूम रही है।
1712,मुँह सिलना,चुप रहना,- मैंने तो अपना मुँह सिल लिया है। तुम चिंता मत करो।                                      मैं तुम्हारे विरुद्ध कुछ नहीं बोलूँगा।
1713,मुँह काला करना,कलंकित होना,- दुश्चरित्र महिलाएँ न जाने कहाँ-कहाँ मुँह काला                                      कराती फिरती है।
1714,मुँह चुराना,सम्मुख न आना,- इस तरह समाज में कब तक मुँह चुराते फिरोगे। जाकर प्रधान                                जी से अपनी गलती की माफी माँग लो।
1715,मुँह जूठा करना,थोड़ा-सा खाना/चखना,- यदि भूख नहीं है तो कोई बात नहीं। थोड़ा-सा मुँह                                 जूठा कर लीजिए।
1716,मुँहतोड़ जबाब देना,ऐसा उत्तर देना कि दूसरा कुछ बोल ही न सके,- मैंने ऐसा मुँहतोड़ जबाब                                दिया कि सबकी बोलती बंद हो गई।
1717,मुँह निकल आना,कमजोरी के कारण चेहरा उतर जाना,- एक सप्ताह की बीमारी में ही उसका                                मुँह निकल आया है।
1718,मुँह की बात छीन लेना,दूसरे के मन की बात कह देना,- आपने यह बात कहकर तो मेरे मुँह                                 की बात छीन ली। मैं भी यही बात कहना चाहता था।
1719,मुँह में खून लगना,अनुचित लाभ की आदत पड़ना,- इस थानेदार के मुँह में खून लग गया है।                                बेचारे गरीब सब्जी वालों से भी हफ़्ता-वसूली करता है।
1720,मुँह मोड़ना,उपेक्षा करना,- जब ईश्वर ही मुँह मोड़ लेता है तब दुनिया में कोई सहारा                                नहीं बचता।
1721,मुँह लगाना,बहुत स्वतंत्रता देना,- ऐसे घटिया लोगों को मैं मुँह नहीं लगाता।
1722,मुँह बंद कर देना,शांत कराना,- तुम धमकी देकर मेरा मुँह बंद कर देना चाहते हो
1723,मुँह की खाना,हारना/पराजित होना,"- इस बार तो राजू पहलवान ने मुँह की खाई है,                                       पिछली बार वह जीता था।"
1724,मुँह धो रखना,आशा न रखना,- यह चीज अब मिलने को नही मुँह धो रखिए।
1725,मुँह में पानी आना,लालच होना,- मिठाई देखते ही उसके मुँह में पानी भर आया।
1726,मुँह पर,या चेहरे पर, हवाई उड़ना
1727,मुँह में लगाम न होना,बिना समझे बोलना,"- जिसके मुँह में लगाम नहीं, उससे सँभलकर बात करो।"
1728,मुँह मीठा करना,"शकुन-सूचक मिठाई खिलाना। भाई ! मुँह मीठा कराओ, तुम्हें लड़का हुआ है।",
1729,मुँह माँगी मुराद पाना,इच्छानुकूल वस्तु पाना,- यह सुलक्षणा पत्नी ! मुँह माँगी मुराद पा  गये हो यार !
1730,मुँह खुलना-,"उदण्डतापूर्वक बातें करना, बोलने का साहस होना",
1731,"मुँह देना, या डालना-",किसी पशु का मुँह डालना,
1732,मुँह बन्द होना-,चुप होना,
1733,मुँह से लार टपकना-,बहुत लालची होना,
1734,मुँह काला होना-,कलंक या दोष लगना,
1735,मुँह धो रखना-,आशा न रखना,
1736,मुँहफट हो जाना-,निर्लज्ज होना,
1737,मुँह रखना-,लिहाज रखना,
1738,मुँहदेखी करना-,पक्षपात करना,
1739,मुँह चुराना-,संकोच करना,
1740,मुँह चाटना-,खुशामद करना,
1741,मुँह भरना-,घूस देना,
1742,मुँह लटकना-,रंज होना,
1743,मुँह आना-,मुँह की बीमारी होना,
1744,मुँह की खाना-,परास्त होना,
1745,मुँह सूखना-,भयभीत होना,
1746,मुँह ताकना-,किसी का आसरा करना,
1747,मुँह से फूल झड़ना-,मधुर बोलना,
1748,मुँह में घी-शक्कर-,किसी अच्छी भविष्यवाणी का अनुमोदन करना,
1749,मुँह से मुँह मिलाना-,"हाँ-में-हाँ मिलाना, बही-खाता आदि में हिसाब सही न लिखकर भी जमा-खर्च या उत्तर सही लिख देना ",
1750,दाँत दिखाना,खीस काढ़ना,- खुद ही देर की और अब दाँत दिखाते हो।
1751,दाँत गिनना,उम्र पता लगाना,- कुछ लोग ऐसे है कि उनपर वृद्धावस्था का असर ही नहीं होता। ऐसे लोगों के दाँत         गिनना आसान नहीं।
1752,दाँत निपोरना,गिड़गिड़ाना,"- क्यों दाँत निपोरकर भीख माँग रहे हो, काम क्यों नहीं करते ?"
1753,दाँत पीसना,बहुत क्रोधित होना,- रमेश तो बात-बात पर दाँत पीसने लगता है।
1754,दाँत काटी रोटी होना,अत्यन्त घनिष्ठता होना या मित्रता होना,- आजकल राम और श्याम की दाँत काटी रोटी है।
1755,दाँत खट्टे करना,"परास्त करना, हराना",- महाभारत में पांडवों ने कौरवों के दाँत खट्टे कर दिए थे।
1756,दाँतों तले उँगली दबाना,दंग रह जाना,- जब एक गरीब छात्र ने आई.ए.एस. पास कर ली तो सब दाँतों              तले उँगली दबाने लगे।
1757,दाँत गड़ाना,कुछ हड़पने के लिए दृढ़ होना,- मेरी बगिया पर तुम दाँत जमाये हो; मैं फौजदारी तक देख लूँगा।
1758,दाँत से दाँत बजना,बहुत जाड़ा पड़ना,- इस साल दिसंबर में दाँत बजने की नौबत आ गयी।
1759,दाँत तोड़ना,बेकाम करना,"- साँप के दाँत तोड़ दो, और उसे मदारी की तरह नचाओ।"
1760,दाँतों में जीभ-सा रहना,शत्रुओं से घिरा रहना,- लंका में विभीषण दाँतों में जीभ-से रहते थे।
1761,दाँत खट्टे करना-,पस्त करना,
1762,तालू में दाँत जमना-,बुरे दिन आना,
1763,दाँत जमाना-,अधिकार पाने के लिए दृढ़ता दिखाना,
1764,दाँत गिनना-,उम्र बताना,
1765,बात का धनी,वायदे का पक्का,"- मैं जानता हूँ, वह बात का धनी है।"
1766,बात की बात में,अति शीघ्र,- बात की बात में वह चलता बना।
1767,बात चलाना,चर्चा चलाना,- कृपया मेरी बेटी के ब्याह की बात चलाइएगा ।
1768,बात तक न पूछना,निरादर करना,"- मैं विवाह के अवसर पर उसके यहाँ गया, पर उसने बात तक न पूछी।"
1769,बात बढ़ाना,बहस छिड़ जाना,"- देखो, बात बढाओगे तो ठीक न होगा।"
1770,बात बनाना,बहाना करना,- तुम्हें बात बनाने से फुर्सत कहाँ ?
1771,गर्दन उठाना,प्रतिवाद करना,- सत्तारूढ़ सरकार के विरोध में गर्दन उठाना टेढ़ी खीर है।
1772,गर्दन पर सवार होना,पीछा न छोड़ना,"- जब देखो, तब मेरी गर्दन पर सवार रहते हो।"
1773,गर्दन काटना,"जान से मारना, हानि पहुँचाना",- वह तो उनकी गर्दन काट डालेगा। झूठी शिकायत कर क्यों गरीब की गर्दन काटने पर तुले हो ?
1774,गर्दन पर छुरी फेरना-,अत्याचार करना,
1775,सिर उठाना,विरोध में खड़ा होना,"- देखता हूँ, मेरे सामने कौन सिर उठाता है ?"
1776,सिर भारी होना,"सिर में दर्द होना, शामत सवार होना",- मेरा सिर भारी हो रहा है। किसका सिर भारी हुआ है जो इसकी चर्चा करें ?
1777,सिर पर सवार होना,पीछे पड़ना,- तुम कब तक मेरे सिर पर सवार रहोगे ?
1778,सिर से पैर तक,आदि से अन्त तक,- तुम्हारी जिन्दगी सिर से पैर तक बुराइयों से भरी है।
1779,सिर पीटना,शोक करना,- चोर उस बेचारे की पाई-पाई ले गये। सिर पीटकर रह गया वह।
1780,सिर पर भूत सवार होना,"एक ही रट लगाना, धुन सवार होना","- मालूम होता है कि घनश्याम के सिर पर भूत सवार हो गया है, जो वह जी-जान         से इस काम में लगा है।"
1781,सिर फिर जाना,पागल हो जाना,- धन पाकर उसका सिर फिर गया है।
1782,सिर चढ़ाना,शोख करना,- बच्चों को सिर चढ़ाना ठीक नहीं।
1783,सिर आँखों पर बिठाना,बहुत आदर-सत्कार करना,- घर पर आए गुरुजी को छात्र ने सिर आँखों                   पर बिठा लिया।
1784,सिर ऊँचा उठाना,इज्जत से खड़ा होना,- अपनी ईमानदारी के कारण मुन्ना समाज में                   आज सिर ऊँचा उठाए खड़ा है।
1785,सिर खाली करना,बहुत या बेकार की बातें करना,- कल भवेश ने घर आकर मेरा                   सिर खाली कर दिया।
1786,सिर पर आसमान उठाना,बहुत शोरगुल करना,- माँ के बिना बच्चे ने सिर पर आसमान उठा लिया है।
1787,सिर पर कफ़न बाँधना,मरने के लिए तैयार रहना,- सैनिक सीमा पर सिर पर कफ़न बाँधे रहते हैं।
1788,सिर पर पाँव रख कर भागना,बहुत तेजी से भाग जाना,- पुलिस को देख कर डाकू सिर पर पाँव                    रख कर भाग गए।
1789,सिर मुँड़ाते ही ओले पड़ना,कार्यारम्भ में विघ्न पड़ना,- यदि मैं जानता कि सिर मुँड़ाते ही ओले                    पड़ेंगे तो विवाह के नजदीक ही न जाता।
1790,सिर सफेद होना,बुढ़ापा होना,- अब नरेश का सिर सफेद हो गया है।
1791,सिर पर आ जाना,बहुत नजदीक होना,"- परीक्षा मेरे सिर पर आ गयी है, अब मुझे खूब पढ़ना चाहिए।"
1792,सिर खुजलाना,बहलाना करना,"- सिर न खुजलाओ, देना है तो दो।"
1793,सिर खाना,व्यर्थ की बातों से तंग करना,- मेरा सिर मत खाओ। मैं वैसे ही परेशान हूँ।
1794,सिर नीचा करना,इज्जत बढ़ाना,- रमानाथ के अकेले बेटे ने अपने पिता का सिर ऊँचा कर दिया।
1795,सिर चढ़ना,अशिष्ट या उदंड होना,- आपके बच्चे बहुत सिर चढ़ गए हैं। किसी की सुनते तक नहीं।
1796,सिर पटकना,पछताना,- पहले तो मेरी बात नहीं मानी अब सिर पटकने से क्या होगा?
1797,सिर पर खड़ा रहना,बहुत निकट रहना,- आप उसे कुछ समय के लिए अकेले भी छोड़ दिया करो। चौबीसों                   घंटे उसके सिर पर खड़े रहना ठीक नहीं है।
1798,सिर पर तलवार लटकना,खतरा होना,- इस कंपनी में नौकरी करने पर हमेशा सिर पर तलवार ही लटकी                   रहती है कि कब कोई गलती हुई और नौकरी से निकाल दिए गए।
1799,सिर फिरना,पागल हो जाना,- उसे मत छेड़ो। अगर उसका सिर फिर गया तो तुम लोगों की शामत                   आ जाएगी।
1800,सिर मुड़ाते ओले पड़ना,कार्य आरंभ करते ही विघ्न पड़ना,- हमने व्यापार आरंभ किया ही था कि पुलिस                   वालों ने आकर हमारा लाइसेंस ही रद्द कर दिया। इसे कहते हैं सिर मुड़ाते ही ओले पड़ना।
1801,सिर चढ़कर बोलना,साक्षात् प्रभावशाली होना,"- उसकी लेखनी में ऐसा जादू है, जो सिर चढ़कर बोलता है।"
1802,सिर गंजा कर देना,बहुत पीटना,- बदमाशी करोगे तो सिर गंजा कर दूँगा।
1803,सिर ऊखल में देना,जान-बूझकर आफत मोल लेना,- जब सिर ऊखल में दिया तो मूसल का क्या डर ?
1804,सिर का बोझ टलना,निश्र्चिंत होना,"- बेटी का ब्याह हुआ, तो समझो सिर का बोझ टला।"
1805,सिर आँखों पर होना-,सहर्ष स्वीकार होना,
1806,सिर खुजलाना-,बहाना करना,
1807,सिर धुनना-,शोक करना,
1808,हाथ पैर मारना,काफी प्रयास ,-  राम कितना मेहनत क्या फिर भी वह परीक्षा में सफल नहीं हुआ।
1809,हाथ मलना,पछताना ,- समय बीतने पर हाथ मलने से क्या लाभ ?
1810,हाथ देना,सहायता करना ,- आपके हाथ दिये बिना यह काम न होगा।
1811,हाथ का खिलौना,किसी के आदेश के अनुसार काम करने वाला व्यक्ति,- बेचारा राजू इन दुष्टों के हाथ का खिलौना बन गया है।
